"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"mgn:Magellan_Parameters:1           ","Class","Magellan_Parameters","1.0.0.0","mgn","The Magellan_Parameters class is the container for mission-specific metadata elements.","geo","","","","","","","","","","",""
"mgn:Magellan_Parameters:2            mgn:product_type:1                  ","Attribute","product_type","n/a","mgn","The product_type attribute indicates the type of data for an individual data product. The values are based on the values used by the Magellan project for their delivery to PDS.","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:ARCDR","Value","ARCDR","","","Altimetry and Radiometry Composite Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:BSR","Value","BSR","","","Bistatic Radar"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:C-BIDR","Value","C-BIDR","","","Compressed Basic Image Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:C1-MIDR","Value","C1-MIDR","","","Compressed one time Mosaicked Image Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:C2-MIDR","Value","C2-MIDR","","","Compressed two times Mosaicked Image Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:C3-MIDR","Value","C3-MIDR","","","Compressed three times Mosaicked Image Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:F-BIDR","Value","F-BIDR","","","Full resolution Basic Image Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:F-MIDR","Value","F-MIDR","","","Full resolution Mosaicked Image Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:GEDR","Value","GEDR","","","Global emissivity map data record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:GREDR","Value","GREDR","","","Global reflectivity map data record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:GSDR","Value","GSDR","","","Global slope map data record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:GTDR","Value","GTDR","","","Global topography map data record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:GVDR","Value","GVDR","","","Global Vector Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:GXDR","Value","GXDR","","","Global map image Data Record with maps for topography, emissivity, slope and reflectivity"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:LOSAPDR","Value","LOSAPDR","","","Line Of Sight Acceleration Profile Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:P-MIDR","Value","P-MIDR","","","Polar projected Mosaicked Image Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:SCVDR","Value","SCVDR","","","Surface Characteristics Vector Data Record"
"mgn:Magellan_Parameters:2            mgn:product_type:2                   Value:SHXDR","Value","SHXDR","","","Spherical Harmonic Data Record for topography and gravity models"
"mgn:Magellan_Parameters:2            mgn:product_version_id:1            ","Attribute","product_version_id","n/a","mgn","The product_version_id attribute identifies the version of an individual data product. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mgn:Magellan_Parameters:2            mgn:mapping_cycle:1                 ","Attribute","mapping_cycle","n/a","mgn","The mapping cycle in which the data were acquired. Should be 1 to 6. ","geo","ASCII_NonNegative_Integer","0","1","1","6","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mgn:Magellan_Parameters:2            mgn:orbit_number:1                  ","Attribute","orbit_number","n/a","mgn","The orbit_number attribute identifies the number of the orbital revolution around a target body. ","geo","ASCII_NonNegative_Integer","0","1","1","20000","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mgn:Magellan_Parameters:2            mgn:start_orbit_number:1            ","Attribute","start_orbit_number","n/a","mgn","Provides the the lowest revolution orbit number that contributed data to a given data product. ","geo","ASCII_NonNegative_Integer","0","1","1","20000","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mgn:Magellan_Parameters:2            mgn:stop_orbit_number:1             ","Attribute","stop_orbit_number","n/a","mgn","Provides the the highest revolution orbit number that contributed data to a given data product. ","geo","ASCII_NonNegative_Integer","0","1","1","20000","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mgn:Magellan_Parameters:2            mgn:mission_phase_name:1            ","Attribute","mission_phase_name","n/a","mgn"," The mission_phase_name attribute provides the mission-defined name of a time period within the mission. ","geo","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mgn:Magellan_Parameters:2            mgn:mission_phase_name:2             Value:Aerobraking","Value","Aerobraking","","","The aerobraking phase extended from completion of the fourth mapping cycle through achievement of a near-circular orbit. Circularization was achieved more quickly than expected; the first gravity data collection in the circular orbit was not scheduled until 11 days later. Orbits included within the aerobraking phase were 7627 through 8392. Started 1993-05-26 and ended on 1993-08-05."
"mgn:Magellan_Parameters:2            mgn:mission_phase_name:2             Value:Mapping Cycle 1","Value","Mapping Cycle 1","","","The first mapping cycle extended from completion of the orbit trim and checkout phase until completion of one cycle of radar mapping (approximately 243 days). Started 1990-09-15 and ended 1991-05-15."
"mgn:Magellan_Parameters:2            mgn:mission_phase_name:2             Value:Mapping Cycle 2","Value","Mapping Cycle 2","","","The second mapping cycle extended from completion of the first mapping cycle through an additional cycle of mapping. Acquisition of 'right-looking' SAR data was emphasized. Radio occultation measurements were carried out on orbits 3212-3214. A period of battery reconditioning followed completion of Cycle 2. Started 1991-05-16 and ended 1992-01-17."
"mgn:Magellan_Parameters:2            mgn:mission_phase_name:2             Value:Mapping Cycle 3","Value","Mapping Cycle 3","","","The third mapping cycle extended from completion of battery reconditioning through an additional cycle of mapping (approximately 243 days). Acquisition of 'stereo' SAR data was emphasized. The last orbit in the third cycle was orbit 5747. Started 1992-01-24 and ended 1992-09-14."
"mgn:Magellan_Parameters:2            mgn:mission_phase_name:2             Value:Mapping Cycle 4","Value","Mapping Cycle 4","","","The fourth mapping cycle extended from completion of the third mapping cycle through an additional cycle of mapping. Acquisition of radio tracking data for gravity studies was emphasized. Radio occultation measurements were carried out on orbits 6369, 6370, 6471, and 6472. Because of poor observing geometry for gravity data collection at the beginning of the cycle, this cycle was extended 10 days beyond the nominal 243 days. Orbits included within the fourth cycle were 5748 through 7626. Periapsis was lowered on orbit 5752 to improve sensitivity to gravity features in Cycle 4. Started 1992-09-14 and ended 1993-05-25."
"mgn:Magellan_Parameters:2            mgn:mission_phase_name:2             Value:Mapping Cycle 5","Value","Mapping Cycle 5","","","The fifth mapping cycle extended from completion of the aerobraking phase through an additional cycle of mapping (approximately 243 days). Acquisition of radio tracking data for gravity studies was emphasized. The first orbit in the fifth cycle was orbit 8393. Started on 1993-08-16 and ended on 1994-04-15."
"mgn:Magellan_Parameters:2            mgn:mission_phase_name:2             Value:Mapping Cycle 6","Value","Mapping Cycle 6","","","The sixth mapping cycle extended from completion of the fifth mapping cycle through an additional cycle of mapping (approximately 243 days). Acquisition of radio tracking data for gravity studies was emphasized. The first orbit in the sixth cycle was orbit 12249. Started on 1994-04-16."
"mgn:Magellan_Parameters:2            mgn:mission_phase_name:2             Value:Primary Mission","Value","Primary Mission","","","The prime science phase of the mission. This value occurs in the original PDS labels of the MIDR products."
"mgn:Magellan_Parameters:2            mgn:radar_look_direction:1          ","Attribute","radar_look_direction","n/a","mgn"," The radar_look_direction attribute provides the direction the radar antenna was pointing relative to the spacecraft ground track along a given orbit. Most cases were Left or Right. Stereo indicates left looking with an incidence angle for stereo measurements. Maxwell is a special case for observing the Maxwell feature. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mgn:Magellan_Parameters:2            mgn:radar_look_direction:2           Value:Left","Value","Left","","","Left looking observation"
"mgn:Magellan_Parameters:2            mgn:radar_look_direction:2           Value:Maxwell","Value","Maxwell","","","Maxwell observation"
"mgn:Magellan_Parameters:2            mgn:radar_look_direction:2           Value:Mixed","Value","Mixed","","","Mixed looking observation (both left and right)"
"mgn:Magellan_Parameters:2            mgn:radar_look_direction:2           Value:Right","Value","Right","","","Right looking observation"
"mgn:Magellan_Parameters:2            mgn:radar_look_direction:2           Value:Stereo","Value","Stereo","","","Stereo observation"
"mgn:Magellan_Parameters:2            mgn:spacecraft_clock_count_partition:1","Attribute","spacecraft_clock_count_partition","n/a","mgn","The spacecraft_clock_count_partition attribute indicates the clock partition active for the spacecraft_clock_start_count and spacecraft_clock_stop_count attributes. ","geo","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mgn:Magellan_Parameters:2            mgn:spacecraft_clock_start_count:1  ","Attribute","spacecraft_clock_start_count","n/a","mgn","The spacecraft_clock_start_count attribute provides the value of the spacecraft clock at the beginning of a time period of interest. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mgn:Magellan_Parameters:2            mgn:spacecraft_clock_stop_count:1   ","Attribute","spacecraft_clock_stop_count","n/a","mgn","The spacecraft_clock_stop_count attribute provides the value of the spacecraft clock at the end of a time period of interest. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mgn:Magellan_Parameters:2            mgn:band_name:1                     ","Attribute","band_name","n/a","mgn"," The name of the radio band in which the signal was received. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mgn:Magellan_Parameters:2            mgn:band_name:2                      Value:S","Value","S","","","S band"
"mgn:Magellan_Parameters:2            mgn:band_name:2                      Value:X","Value","X","","","X band"
"mgn:Magellan_Parameters:2            mgn:received_polarization_type:1    ","Attribute","received_polarization_type","n/a","mgn"," The radio polarization of the receiving antenna and feed. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mgn:Magellan_Parameters:2            mgn:received_polarization_type:2     Value:left circular","Value","left circular","","","Left circular polarization"
"mgn:Magellan_Parameters:2            mgn:received_polarization_type:2     Value:right circular","Value","right circular","","","Right circular polarization"
"mgn:Magellan_Parameters:2            mgn:dsn_station_number:1            ","Attribute","dsn_station_number","n/a","mgn"," The number of the DSN antenna used to collect the data. ","geo","ASCII_NonNegative_Integer","0","1","0","99","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mgn:Magellan_Parameters:2            mgn:organization_id:1               ","Attribute","organization_id","n/a","mgn"," The organization that produced the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mgn:Magellan_Parameters:2            mgn:organization_id:2                Value:SUE","Value","SUE","","","Stanford University Element of the Venus Express Radio Science Team"
"mgn:Magellan_Parameters:2            mgn:producer_institution_name:1     ","Attribute","producer_institution_name","n/a","mgn","The producer_institution_name attribute identifies a university, research center, NASA center, or other institution associated with the production of a data product. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mgn:Magellan_Parameters:2            mgn:original_pds_volume_id:1        ","Attribute","original_pds_volume_id","n/a","mgn","The original PDS volume_id of where the Magellan data are located. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
